input sentence,translation
"if it stops raining tomorrow, i will leave.",HAVE ARRIVE HERE IN FUTURE READ IX NOT FEEL NOW BUOY BUOY WHERE REALLY THAT MOTHER WORK fs- CREAM BUT NOW THAT ARRIVE QM IX HAVE POSS FAMILY
if the box hasn't arrived yet you need to contact fedex.,THAT IF HAVE # LA HAVE fs- CREAM GOOD/THANK-YOU fs- CREAM+CHEESE TO/UNTIL SCHOOL FINISH
how many cars did the student buy (pay for)?,SCL ARRIVE SCHOOL WHERE ARRIVE WHERE IX SCL
so we pulled over to a pay phone and tony called the boss,DCL BCL DCL FINISH IN
"""then hit, and hit, and hit!""",DCL POSS SCL WHO DCL IX SCL DCL DCL DCL
how many cars has the teacher bought so far?,WHO JOHN ARRIVE IX FATHER NOW NOW LIKE BUOY NOT RAIN DCL 1 THAT DEAF HAVE DCL NOT BUY fs- TRUCK THAT FOR YESTERDAY NOT RAIN # CAR WHO  PEOPLE CAR
"if you don't want pizza, you can order pasta.",DEAF HAVE CAR BREAK-DOWN NOT POSS NOT CANCEL/CRITICIZE FUTURE DCL ON DEAF HAVE BOOK a SO REALLY THAT
"the hearing people don't tell each other, ""you have a good speech,"" they don't.",IX MAN NOT CANCEL/CRITICIZE WHY IX # SD HAVE SAME REALLY WHO
"if the student wins an award, he will get a $100 gift card.",STUDENT POSS POSS BROTHER WHY
jason is going home because he is hot.,BUT fs- EVEN GO-OUT HERE NOT CANCEL/CRITICIZE
"...i waved at the raft, and they came and got me...",NOT RAIN WHERE WHERE NOT WHERE WHY HAVE POSS  MOTHER DCL LOOK WHY REALLY ON  fs- SUE JOHN fs- JOHN LIKE NOW WHY POSS QM   CAR QM POSS  HOUSE IX NOT BREAK WINDOW IX TEND IX DCL DCL ON # ASL FUTURE IX SCL ICL ICL MARY DCL FINISH NOW
"the next day, they arrive in the train area and keep looking for a tall person. when someone taps your shoulder and you look, and it is a short person saying ""hello i'm meeting..."" and you're surprised because what you see is different than what you visualized.",ONE TEACH+AGENT SOMETHING/ONE POSS FINISH SAME SAME THAT WOW SCL DCL DEAF
each of the students gave the teacher a book.,# TEACHER DCL GO-OUT WHERE DCL BUOY NOT BUOY
"if my friends go camping, i will go with them.",THAT TIME IX MUST fs- PEN # DOG_2 IF IX # WHEN BUOY LIKE DCL ARRIVE IX # # SD CAR WHERE THAT WHO NOT REALLY DEAF PERSON POSS TEACHER WHY ARRIVE WHO WHY WHY POSS FAMILY SCL WHERE REALLY NOT FUTURE WHO WHY WHY QM
are jen and joe married?,# SD DCL CAR BLUE THAT MOTHER QM REALLY HAVE ARRIVE WORK
"did john buy mother's car? no, he did not.",fs- FATHER fs- GIFT JOHN FATHER NOW CAR POSS FATHER NONE/NOTHING FINE NOW LIKE CAR FOR # CAR WHY SAME KIND NOT WHO LOOK WHY DCL POSS FAMILY fs- SUE BIG SCL BUOY CAR BREAK-DOWN NOT MUST JOHN # SO POSS HOUSE  WORK fs-  BUY WHO NOW LOOK  SCL BUY BOOK CAR FOR WHO  JOHN BUY YESTERDAY MOTHER SICK DCL ARRIVE IX IX LIKE # JOB
"if the kids play at the park, they will be tired later in the afternoon.",MOTHER SCL WHERE IX DRIVE
"there are many different options: they can pass to the wide receiver, ",# IF SCL REALLY DCL FINISH NOT IX REALLY # QUIZ NOW FINISH BUY NONE/NOTHING
it was fun all day and we had a good time.  we decided to take a break.,ONE TWO LOOK BCL WHY FINISH WHY THAT fs- PEN IX GO MUST DCL CAR HAVE FINISH
"after class, john read the book.",IX DRIVE BOOK WHEN NOT FUTURE READ POSS FAMILY MUST IX WHO CAR fs- CREAM+CHEESE MOTHER BUY FINISH READ JOHN READ
"often because judgments come from the audio-oral perspective, the sensory politics results in judgments of broken sounds and harsh noises, this needs to be improved.",SCL FUTURE LOOK REALLY WHO TALK POSS HOUSE NOT CANCEL/CRITICIZE fs- MARY DCL PEOPLE WHY ABOUT SAME FOR THAT KIND
the researches have proven that a child with a deaf mentor often perform better. there is a research that studies two groups from utah and tennessee.,fs- VERY CAR SHOULD DCL ON SAME IX FUTURE POSS MOTHER NOW IX LIKE REALLY WHY IX SCL NOT DCL FINISH # NO WHO LOOK # IF fs- VERY
did the roommates go out together?,NOW DRIVE DCL DCL ARRIVE MOTHER BUOY FUTURE FUTURE BUY
there are many types of variations related to voices correlated with what is not normal.,ICL NOT # ALL WITH NOW NOW NOW REALLY MUST TO/UNTIL IX ARRIVE ON NOT HAVE QM NOT BUY  MOTHER IX WHO
when did john finish reading the book?,NOW ARRIVE HERE IX ARRIVE QM FINISH NOT GIFT WORK  DCL  IX HAVE FATHER CULTURE DCL NOW NOW BUOY NOT CANCEL/CRITICIZE BUOY  JOHN ARRIVE  MUST GO BUY FOR  fs- DANA  MOTHER  DCL REALLY QM fs-  JOHN MUST FATHER FINISH - n POSS FRIEND WHY FINISH - HOUSE TO/UNTIL NOW THAT IX SHOULD REALLY DCL THAT ARRIVE ON FATHER ARRIVE THAT MAJOR IX
i invited a friend to go to a bbq.,BUT GO-OUT WHERE
john knows the man over there.,MOTHER NOW WHERE
...i didn't know much about football untill my mom gave me that book.,NOW BUY BOOK WHO
"the wolf said, ""i'm ready to eat you three.  i'll do it.""",STUDENT FINISH FINISH ARRIVE WHERE WHY SAME # OK AND SCL 1 STILL FUTURE WHY SCL DEAF FUTURE DIFFERENT JOHN  IX THINK IX POSS VOICE QM ABOUT # HS SAME NONE/NOTHING FINE # OR WHY FINISH FUTURE CAR  DCL # VP  DCL ON FINISH WHO FINISH ARRIVE DCL SCL BUY fs- PARK IX MUST MOTHER FUTURE BUT POSS NAME SCL WITH FUTURE IX REALLY FUTURE BUY THAT
"if you were curious and walked by you would see two deaf professionals, one a teacher and the other a manager. they were discussing politics and having a deep dialogue and the signing was so in depth. but the grunt sound and the vocals sounded like an animal fight.",ONE MAN POSS fs- OBAMA fs- PEN NOT FROM fs- OF VOICE SAME BUOY
"when they enter the bathroom and are ready to eliminate waste, they will turn on running water or music to cover up and drown out the bathroom noises.",fs- SUE FINISH TELL SAY DRIVE IX LOOK POSS FAMILY ONE DRIVE DCL ON POSS SISTER HAVE FATHER SCL DCL
"is the king of france bald? no, france doesn't have a king now.",IN REALLY ONE DRIVE IX LOOK DEAF NOT # NO NOT FROM IX LOOK
"the cop said, ""no, i saw it very clearly.""",BCL LOOK WHERE NOW NOT CANCEL/CRITICIZE IX LIKE DEAF fs- MARY IN FUTURE MUST CAR  - e # HS IX ARRIVE WHY  CAR  DCL CAR WHY
then what happened was a wolf arrived in the area,THAT SCL THAT ARRIVE WHERE
my mother wears glasses only because she knows she looks good in them.,# FATHER WHO REALLY DRIVE THAT DCL MOTHER FUTURE
john knows the man over there.,JOHN WHO LOOK FINISH SCL WHERE FINISH SCL QM SCL WHERE IX MUST SCL QM IX SCL REALLY DIFFERENT POSS WHO NOT WHO ARRIVE FOR POSS QM fs- CAR WHY NOW FINISH ARRIVE HOUSE SAME
maybe john will live here.,MOTHER FINISH SCL FINISH NOW WHY NOW CAR fs- JOHN FINISH REALLY NOT
a lot of deaf people experience trying to control their voice and the conception of their voice. they try to make voice accommodations.,REALLY NONE WORK POSS ONE fs- JOHN NOT fs- DONNA DIFFERENT PEOPLE LOOK MOVIE WHY HAVE THAT THAT POSS CAR POSS CAR LICENSE IX IX LOOK NOW DCL  ON DIFFERENT CAR fs- SPEECH DIFFERENT CAR WHY fs- PARK  DCL DIFFERENT CAR fs- DANA SCL MOTHER BUY CAR NOT ARRIVE SCHOOL MUST CAR NOT  MUST LIKE FATHER MUST  ON SCL  THAT POSS fs- BOB CAR
...a big pile of grass that looked delicious!,WHEN FATHER FUTURE BUY YESTERDAY MOTHER WORK QM POSS DEAF POSS WHO fs- CREAM REALLY BUT NOW
many hearing people who become deaf overnight...,HAPPEN WHO LOOK NOT BUOY CAR LIKE WHY REALLY
i can't believe the car broke!,WHO HAVE HAVE PINEAPPLE FINISH GIFT HAVE
my favorite dessert is pumpkin pie.,REALLY MUST PLAY DEAF WHO FINISH SCL SCL fs- MPH QM IN SCHOOL HAVE IX HAVE BUOY # ASL SCL SCL SELL NOT NOT  TO/UNTIL
the students refuse to listen to the teacher.,TEACH+AGENT NOW THAT NOT BOOK
"when i finish work, i will go home.",NOW DCL ARRIVE POSS fs- BILL IX
"in the field of audiovocal orientation, they have their own way of viewing the role of voice range...",IN PEOPLE WHO TALK SAME # PO NOW MUST GET REALLY IN FATHER POSS FATHER MUST fs- BEACH THAT 1 PEOPLE POSS HOUSE FOR HAVE PHONE REALLY SAME DCL REALLY POSS WHO  CAR  CAR PEOPLE REALLY
have jack and sue met?,NOW WEATHER ARRIVE QM ARRIVE WORK REALLY THAT WHO WHY CAR CAR FUTURE ^ FUTURE FUTURE BUY HOUSE IX NOT CAR QM # VP FUTURE BUY QM IN WHO FUTURE WHY
i told him/her tomorrow it would rain.,NOT WHEN WHO HAVE DEAF DRIVE FINISH NOW SCL
that dog that's chasing the cat isn't mine.,NOW FUTURE DRIVE NOW NOT WORK fs- BEACH REALLY BUT REALLY DEAF FUTURE QM  MOTHER GIVE FATHER LIKE IX FUTURE
mother bought one book yesterday.,ONE FUTURE GIFT YESTERDAY POSS TEACHER QM fs- BEACH # SO NOW REALLY CAR BLUE WORK HERE
now parents often would start considering discussing with the hospital for the early intervention. but the word makes it seems like they are intervening.,IX TEND STUDY HAVE PINEAPPLE SAME SAME IN fs- VERY FINE # OK WHY fs- ORIENTATION NOT RAIN DIFFERENT
friends haven't started playing frisbee.,PEOPLE GROUP/TOGETHER FUTURE GIVE MOTHER SICK BUOY #
so i didn`t need to worry about attending a hearing school or a deaf school.,WHO NOT REASON ARRIVE QM CAR BREAK-DOWN IX BUOY
my boss works in an office right above me.,NOW NONE/NOTHING GO GIFT VOICE REALLY DCL # SO WHERE POSS NAME
"it can create an opportunity for the other team to win, ",# fs- TO POSS MOTHER+FATHER NOT WORK DEAF WHY DRIVE WORK PEOPLE DCL FINISH NOW WHY # SO LOOK QM IX # DOG_2 NONE/NOTHING THAT FINISH FUTURE DCL DEAF fs- LOX TALK DRIVE FUTURE FATHER DCL FINISH fs- OF HOUSE REALLY WOW/AWFUL MUST BUY NOT FEEL IX FINISH BUY THAT GROUP/TOGETHER SCL IX NOT BUY MANY # VP THAT DEAF  SCL WITH WHO WORK BICYCLE FINISH FINISH BUY FATHER
which house did the student's father buy?,# WHEN FINISH FINISH CAR NOT BOOK fs- PARK
"i would look bad, and plus...",ICL
i know he/she leaves tomorrow.,THAT NOT REALLY ONE NOT CANCEL/CRITICIZE SAME POSS MOTHER+FATHER FINISH READ
my mother got pregnant with me.,fs- OBAMA IX GO-OUT NOT RAIN YESTERDAY MOTHER NOW POSS MUST FUTURE NOW DCL IX THINK WHO fs- BOB BOOK MOVIE BUOY  BUY YESTERDAY WHY POSS BUOY IX SCL DEAF # WHEN SCL
the student likes chocolate but doesn't like to read books.,TEACHER LIKE FINISH FINISH fs- BOOK WHEN MOTHER LIKE fs- CREAM+CHEESE DCL IN FOR POSS DEAF BUOY FUTURE LIKE CAR CAR FINISH  NOW FOR POSS FATHER BUOY
i don't want to buy shorts.,REALLY SCL DCL # DOG ARRIVE WHY # SD # BUT FINISH IX # SD NOW WHY QM CAR WHO DCL REALLY WHO MUST FINISH BUY   IX # PO NOT MUST GIFT TEACHER DCL PEOPLE DCL CAR HERE WHERE NOW FOR FOR NOW WHY DIFFERENT JOHN FUTURE DCL CAR WHY
" ""...and i ate his heart!"" ",WHO IX fs- BILL FINISH REALLY NOT RAIN IX fs- TO PEOPLE POSS NEW MOTHER WHY # DO DCL IX FINISH DCL WHY QM POSS WHO IX WHO DCL QM ABOUT FOR DRIVE WHO FINISH BUY POSS fs- MARY IX CAR BREAK-DOWN FOR YESTERDAY THAT WHY WHY WHERE FINISH
father likes both books and movies.,WHEN TEACHER POSS READ POSS LIKE THAT TIME NOT FUTURE BUY GOOD/THANK-YOU BUOY ARRIVE
"my friend said ""nah, its better to pull over."" ""okay, fine,"" i said, ""i'd be happy to."" i said sarcastically.  we pulled over. ",REALLY FRIEND IX GO LOOK MOTHER SICK POSS MOTHER ON # PO WHO MUST IX DRIVE DEAF WHY DRIVE IX WHO BUT NOW
how many books will john buy?,JOHN BOOK POSS SISTER IX DCL READ QM WHY FUTURE BUY YESTERDAY WHY BUOY REALLY POSS YESTERDAY DO-DO FUTURE CAR BLUE CAR
did john buy many books? how many did he buy?,IN MOTHER WORK FINISH fs- TEACHER FINISH FINISH fs- BOB FOR CAR SCL NOT POSS BIRTHDAY BOOK  fs- TO FOR REALLY NOT ^ NOT IX ARRIVE  PEOPLE JOHN DCL FUTURE KNOW FUTURE NOW WHY REALLY
"if my friend crashes the party, i will kick him out.",STUDENT FUTURE READ IN WHERE # PO SCL fs- IT
i just finished reading a book and i noticed there was a page missing.,HAVE BOOK DCL IX
bob hasn't gone to the post office.,fs- THEN THAT HAVE GOOD/THANK-YOU QM # SD WHY NOT IN DCL 1 fs- DONNA DCL # PO FUTURE DCL WHO
"you know john, mary he loves her.",POSS FAMILY fs- BEACH POSS MOTHER NOT LIKE BUT REALLY WORK SCL  ON FUTURE POSS
my friend loves traveling all over. his favorite place is asia because their food is delicious.,REALLY WHEN MOVIE IN fs- VERY fs- OBAMA IN HOW POSS fs- PEN WRITE NOW FUTURE DEAF MAKE  # JOB  FINISH ARRIVE
my friend is planning to surprise bob because he's turning 21.,SOMETHING/ONE BOAT NOW IX ARRIVE ON FATHER GO-OUT MOVIE IN  PEOPLE THAT WHY
what did the cop hit me for?,SOMETHING/ONE NOT NOT DRIVE SCL QM NOT POSS BIRTHDAY WHO FUTURE DCL FUTURE READ NOW IX FINISH SCL 1 WHERE FOR THAT REALLY CAR
he/she will go to school if it's not cancelled.,POSS IX fs- SUE CAR GIFT LOOK BUT IN NOT POSS VOICE
"john, in the future, is not buying a house.",# NO
was i passed out drunk last night?,fs- BOB IX DRIVE DEAF NOT BREAK IX DRIVE
the teacher must clean the classroom everyday so that when the students come to class it will be clean.,TEACHER GIVE WHO LOOK WHY POSS MOTHER GO-OUT WOW NOT WORK IX
"the wolf was getting more angry.  ""again!"" he yelled. ""one, two, three..."" he took another deep breath and blew at the house. ",WHO HAVE ONE FINISH IN HOW WHY PEOPLE
"i starting making an invitation list for my bbq party, i will have to make sure it's right.",IN NOW FINISH IX FUTURE FUTURE KNOW POSS BIRTHDAY_3 QM QM SCL THAT POSS DEAF
"while i was a graduate student, in a linguistics class, a professor gave a lecture about syntax.",LOOK OH-I-SEE IX DRIVE ARRIVE FUTURE NOT SHOULD SAME
"many people were shocked when they found out that the person and the voice didn't match up, especially john gilbert, who was one character that was mentioned.",PEOPLE LOOK SEE CAR BREAK-DOWN SCL IN fs- MARY SAME FOR # RA WOW DEAF DEAF BUOY WHO ARRIVE ON BUOY BUT fs- TRUCK  DCL BUOY fs- OR DCL BUOY DCL
you know where he is now? in the hospital with broken ribs...,BCL CAR CAR IX REALLY DCL FINISH SCL WORK WHO NOT
then it struck me: i had pulled the cigarette from my pocket and put it to my mouth.,FRIEND DCL ICL POSS VOICE
"she would tell my mother everyday ""i want a deaf sister.""",PEOPLE WHO LOOK FINISH SCL NOT POSS FRIEND NOT # LA DEAF WHY FOR MOTHER IX fs- DANA WHY
"they talk about the superiority of vision, and the ""tyranny of the hegemony of sound"".",THAT FINISH SCL IX MUST BUY NOT LIKE MOTHER
"if it's snowing out, then school is cancelled.",WHO fs- SUE # SALE # # LA WHY FUTURE fs- BOB WHY MUST DCL   # CAR BLUE DEAF  CAR FOR PEOPLE THAT BOOK FINISH fs- OF WHERE
i have never seen john's car.,ARRIVE HOME
the cop pulled me out of the car...,fs- VERY YESTERDAY SCL SELL IX ARRIVE NOT QM FINISH IX fs- DONNA LIKE MOTHER WORK fs- JOHN NOW POSS MOVIE FUTURE LOVE NOT SCL NOT NOT NOT WHERE QM WHY DEAF fs- ORIENTATION CAR DCL WHO fs- RANGE
does your friend really love surfing the internet?,IF GROUP/TOGETHER MUST MOW CORN WHERE ARRIVE fs- LATE MUST EAT TO/UNTIL WORK ALL-NIGHT
"""did someone finally find your umbrella?"" ""no, it's still missing.""",NOW DCL THAT DCL DCL QM BUOY WHY DEAF DRIVE POSS
speech disorders by teachers.,SOMETHING/ONE # OR
"as i looked at my report card, i thought well i'm deaf but that doesn't matter because my report card says good speech. i imagined this meant that my speech was equal to that of a hearing person. wow, i really had good speech.",POSS IX HAVE DIFFERENT REALLY MANY FUTURE IX MUST IN REALLY REALLY DRIVE IN THAT IX LOOK LOOK DCL BCL THAT GROUP/TOGETHER DEPART DIFFERENT TO/UNTIL fs- JOHN LOVE REALLY fs- PARK IX NOT CAR DRIVE NOW REALLY THAT BOOK # QUIZ QM WHO NOT BUY SAME REALLY DCL # PO IX MUST DEAF DCL NOT CAR SCL WHY # ASL IX THINK
"no, john did not buy (his) mother's car.",FATHER FUTURE WHO fs- JOHN FUTURE GIFT - HOUSE REALLY NOT IX BUOY BUOY BUOY BUOY IX # DOG_2 CAR BUOY  SCL BUY # JOHN NOT
there are real implications behind the value of speech culture and what it means when it's given a voice.,SAME IX THINK WHY CAN GIFT ONE VOICE WORK THAT WOW WHO # LA POSS  MOTHER FUTURE CAR  PEOPLE HOUSE WHO FINISH MUST fs- ORIENTATION # VP THAT WHY THAT WHO IX LIKE fs- TRUCK NOT FOR THAT POSS DEAF IX REALLY WOW DEAF DCL  FOR DCL LOOK
"if bob goes to the post office, i will give him all of my mail so he can drop it off.",MOTHER IF IX NOT RAIN FUTURE GO CAR WHO HAVE ONE
i didn't enjoy talking with those two.,# WHEN FINISH WHO IN WHY WHY DCL WHY BUOY
did barack obama swim at the beach?,ONE RAIN THAT HAVE THAT WHY # OK FOR FUTURE  SCL IN fs- DONNA IN  FINISH  SCL IN NOW CAR SHOULD  MOTHER SCL FOR SCL IX SHOULD NOT DRIVE  FRIEND FINISH DCL FINISH FINISH NOW NOW
